Column_name,Description,Translated,Rejected
il_util,Ratio of total current balance to high credit/credit limit on all install acct,Отношение общего текущего баланса к высокому кредиту/кредитному лимиту по всем установленным счетам,1
initial_list_status,"The initial listing status of the loan. Possible values are – W, F","Первоначальный листинговый статус кредита. Возможные значения — W, F",1
inq_fi,Number of personal finance inquiries,Количество запросов о личных финансах,1
inq_last_12m,Number of credit inquiries in past 12 months,Количество кредитных запросов за последние 12 месяцев,1
inq_last_6mths,The number of inquiries in past 6 months (excluding auto and mortgage inquiries),Количество запросов за последние 6 месяцев (исключая авто и ипотечные запросы),1
installment,The monthly payment owed by the borrower if the loan originates.,"Ежемесячный платеж, причитающийся заемщику, если кредит выдан.",1
int_rate,Interest Rate on the loan,Процентная ставка по кредиту,1
issue_d,The month which the loan was funded,"Месяц, в котором был выдан кредит",1
last_credit_pull_d,The most recent month LC pulled credit for this loan,"Последний месяц, когда LC отозвал кредит по этому кредиту",1
last_fico_range_high,The upper boundary range the borrower’s last FICO pulled belongs to.,"Верхний граничный диапазон, к которому принадлежит последний FICO заемщика.",1
last_fico_range_low,The lower boundary range the borrower’s last FICO pulled belongs to.,"Нижний граничный диапазон, к которому принадлежит последний FICO заемщика.",1
last_pymnt_amnt,Last total payment amount received,Сумма последнего полученного платежа,1
last_pymnt_d,Last month payment was received,Оплата за последний месяц получена,1
loan_amnt,"The listed amount of the loan applied for by the borrower. If at some point in time, the credit department reduces the loan amount, then it will be reflected in this value.","Перечисленная сумма кредита, заявленного заемщиком. Если в какой-то момент кредитный отдел уменьшит сумму кредита, то это отразится на этом значении.",1
loan_status,Current status of the loan,Текущее состояние кредита,0
max_bal_bc,Maximum current balance owed on all revolving accounts,Максимальный текущий остаток на всех возобновляемых счетах,1
member_id,A unique LC assigned Id for the borrower member.,"Уникальный идентификатор LC, присвоенный члену-заемщику.",1
mo_sin_old_il_acct,Months since oldest bank installment account opened,Месяцы с момента открытия самого старого банковского счета в рассрочку,0
mo_sin_old_rev_tl_op,Months since oldest revolving account opened,Количество месяцев с момента открытия самого старого револьверного счета,0
mo_sin_rcnt_rev_tl_op,Months since most recent revolving account opened,Количество месяцев с момента открытия последнего револьверного счета,0
mo_sin_rcnt_tl,Months since most recent account opened,Месяцы с момента открытия последней учетной записи,0
mort_acc,Number of mortgage accounts.,Количество ипотечных счетов.,0
mths_since_last_delinq,The number of months since the borrower's last delinquency.,Количество месяцев с момента последней просрочки заемщиком.,1
mths_since_last_major_derog,Months since most recent 90-day or worse rating,Количество месяцев с момента последней оценки за 90 дней или хуже.,1
mths_since_last_record,The number of months since the last public record.,Количество месяцев с момента последней общедоступной записи.,1
mths_since_rcnt_il,Months since most recent installment accounts opened,Месяцы с момента открытия последних счетов в рассрочку,1
mths_since_recent_bc,Months since most recent bankcard account opened.,Количество месяцев с момента открытия последнего счета банковской карты.,0
mths_since_recent_bc_dlq,Months since most recent bankcard delinquency,Месяцы с момента последнего просроченного платежа по банковской карте,1
mths_since_recent_inq,Months since most recent inquiry.,Месяцы с момента последнего запроса.,0
mths_since_recent_revol_delinq,Months since most recent revolving delinquency.,Месяцы с момента последнего повторяющегося правонарушения.,1
next_pymnt_d,Next scheduled payment date,Дата следующего запланированного платежа,1
num_accts_ever_120_pd,Number of accounts ever 120 or more days past due,"Количество счетов, просроченных на 120 и более дней",0
num_actv_bc_tl,Number of currently active bankcard accounts,Количество активных на данный момент счетов банковских карт,0
num_actv_rev_tl,Number of currently active revolving trades,Количество активных в настоящее время револьверных сделок,0
num_bc_sats,Number of satisfactory bankcard accounts,Количество удовлетворительных счетов банковских карт,0
num_bc_tl,Number of bankcard accounts,Количество счетов банковских карт,0
num_il_tl,Number of installment accounts,Количество счетов в рассрочку,0
num_op_rev_tl,Number of open revolving accounts,Количество открытых револьверных счетов,0
num_rev_accts,Number of revolving accounts,Количество оборотных счетов,0
num_rev_tl_bal_gt_0,Number of revolving trades with balance >0,Количество оборотных сделок с балансом >0,1
num_sats,Number of satisfactory accounts,Количество удовлетворительных аккаунтов,0
num_tl_120dpd_2m,Number of accounts currently 120 days past due (updated in past 2 months),"Количество счетов, в настоящее время просроченных на 120 дней (обновлено за последние 2 месяца)",1
num_tl_30dpd,Number of accounts currently 30 days past due (updated in past 2 months),"Количество счетов, просроченных на 30 дней (обновлено за последние 2 месяца)",1
num_tl_90g_dpd_24m,Number of accounts 90 or more days past due in last 24 months,"Количество счетов, просроченных на 90 и более дней за последние 24 месяца",1
num_tl_op_past_12m,Number of accounts opened in past 12 months,"Количество счетов, открытых за последние 12 месяцев",0
open_acc,The number of open credit lines in the borrower's credit file.,Количество открытых кредитных линий в кредитном досье заемщика.,0
open_acc_6m,Number of open trades in last 6 months,Количество открытых сделок за последние 6 месяцев,1
open_act_il,Number of currently active installment trades,Количество активных на данный момент сделок с рассрочкой,1
open_il_12m,Number of installment accounts opened in past 12 months,"Количество счетов в рассрочку, открытых за последние 12 месяцев",1
open_il_24m,Number of installment accounts opened in past 24 months,"Количество счетов в рассрочку, открытых за последние 24 месяца",1
open_rv_12m,Number of revolving trades opened in past 12 months,"Количество возобновляемых сделок, открытых за последние 12 месяцев",1
open_rv_24m,Number of revolving trades opened in past 24 months,"Количество возобновляемых сделок, открытых за последние 24 месяца",1
orig_projected_additional_accrued_interest,The original projected additional interest amount that will accrue for the given hardship payment plan as of the Hardship Start Date. This field will be null if the borrower has broken their hardship payment plan.,"Первоначальная прогнозируемая сумма дополнительных процентов, которая будет начисляться по данному плану выплат в связи с трудными условиями на Дату начала выплаты в трудных условиях. Это поле будет пустым, если заемщик нарушил свой план выплат.",1
out_prncp,Remaining outstanding principal for total amount funded,Оставшаяся непогашенная основная сумма на общую сумму финансирования,1
out_prncp_inv,Remaining outstanding principal for portion of total amount funded by investors,"Оставшаяся непогашенная основная сумма для части общей суммы, финансируемой инвесторами",1
payment_plan_start_date,"The day the first hardship plan payment is due. For example, if a borrower has a hardship plan period of 3 months, the start date is the start of the three-month period in which the borrower is allowed to make interest-only payments.","День, когда должна быть произведена первая выплата по трудному плану. Например, если у заемщика есть трехмесячный период трудного плана, датой начала является начало трехмесячного периода, в течение которого заемщику разрешено производить платежи только по процентам.",1
pct_tl_nvr_dlq,Percent of trades never delinquent,"Процент сделок, никогда не просроченных",0
percent_bc_gt_75,Percentage of all bankcard accounts > 75% of limit.,Процент всех счетов банковских карт > 75% от лимита.,0
policy_code,"publicly available policy_code=1
new products not publicly available policy_code=2","общедоступный policy_code=1
новые продукты недоступны для общественности policy_code=2",1
pub_rec,Number of derogatory public records,Количество унизительных публичных записей,0
pub_rec_bankruptcies,Number of public record bankruptcies,Количество публичных банкротств,0
purpose,A category provided by the borrower for the loan request. ,"Категория, предоставляемая заемщиком для заявки на кредит.",0
pymnt_plan,Indicates if a payment plan has been put in place for the loan,"Указывает, был ли установлен план платежей по кредиту",1
recoveries,post charge off gross recovery,последующее списание с валового восстановления,1
revol_bal,Total credit revolving balance,Общий кредитный возобновляемый баланс,1
revol_bal_joint," Sum of revolving credit balance of the co-borrowers, net of duplicate balances", Сумма возобновляемого кредитового остатка созаемщиков за вычетом дублирующих остатков,1
revol_util,"Revolving line utilization rate, or the amount of credit the borrower is using relative to all available revolving credit.","Коэффициент использования возобновляемой линии или сумма кредита, которую заемщик использует по отношению ко всему доступному возобновляемому кредиту.",1
sec_app_chargeoff_within_12_mths, Number of charge-offs within last 12 months at time of application for the secondary applicant, Количество списаний за последние 12 месяцев на момент подачи заявки для вторичного заявителя,1
sec_app_collections_12_mths_ex_med, Number of collections within last 12 months excluding medical collections at time of application for the secondary applicant," Количество коллекций за последние 12 месяцев, за исключением медицинских коллекций на момент подачи заявки для вторичного заявителя",1
sec_app_earliest_cr_line, Earliest credit line at time of application for the secondary applicant, Самая ранняя кредитная линия на момент подачи заявки для вторичного заявителя,1
sec_app_fico_range_high, FICO range (low) for the secondary applicant, Диапазон FICO (низкий) для вторичного заявителя,1
sec_app_fico_range_low, FICO range (high) for the secondary applicant, Диапазон FICO (высокий) для вторичного заявителя,1
sec_app_inq_last_6mths, Credit inquiries in the last 6 months at time of application for the secondary applicant, Кредитные запросы за последние 6 месяцев на момент подачи заявки для вторичного заявителя,1
sec_app_mort_acc, Number of mortgage accounts at time of application for the secondary applicant, Количество ипотечных счетов на момент подачи заявки для вторичного заявителя,1
sec_app_mths_since_last_major_derog, Months since most recent 90-day or worse rating at time of application for the secondary applicant, Месяцы с момента последнего 90-дневного или худшего рейтинга на момент подачи заявки для второго заявителя,1
sec_app_num_rev_accts, Number of revolving accounts at time of application for the secondary applicant, Количество револьверных счетов на момент подачи заявки для вторичного заявителя,1
sec_app_open_acc, Number of open trades at time of application for the secondary applicant, Количество открытых сделок на момент подачи заявки для вторичного заявителя,1
sec_app_open_act_il, Number of currently active installment trades at time of application for the secondary applicant, Количество активных сделок в рассрочку на момент подачи заявки для вторичного заявителя,1
sec_app_revol_util, Ratio of total current balance to high credit/credit limit for all revolving accounts, Отношение общего текущего баланса к высокому кредиту/кредитному лимиту для всех возобновляемых счетов,1
settlement_amount,The loan amount that the borrower has agreed to settle for,"Сумма кредита, которую заемщик согласился выплатить",1
settlement_date,The date that the borrower agrees to the settlement plan,"Дата, когда заемщик соглашается с планом урегулирования",1
settlement_percentage,The settlement amount as a percentage of the payoff balance amount on the loan,Сумма погашения в процентах от суммы остатка погашения по кредиту,1
settlement_status,"The status of the borrower’s settlement plan. Possible values are: COMPLETE, ACTIVE, BROKEN, CANCELLED, DENIED, DRAFT","Статус плана расчетов заемщика. Возможные значения: ЗАВЕРШЕНО, АКТИВНО, НЕИСПРАВНО, ОТМЕНЕНО, ОТКЛОНЕНО, ЧЕРНОВИК",1
settlement_term,The number of months that the borrower will be on the settlement plan,"Количество месяцев, в течение которых заемщик будет находиться на расчетном плане",1
sub_grade,LC assigned loan subgrade,LC присвоено земляное полотно,1
tax_liens,Number of tax liens,Количество налоговых залогов,0
term,The number of payments on the loan. Values are in months and can be either 36 or 60.,Количество платежей по кредиту. Значения указаны в месяцах и могут быть 36 или 60.,0
title,The loan title provided by the borrower,"Название кредита, предоставленное заемщиком",0
tot_coll_amt,Total collection amounts ever owed,"Общая сумма взыскания, когда-либо причитавшаяся",0
tot_cur_bal,Total current balance of all accounts,Суммарный текущий баланс всех счетов,0
tot_hi_cred_lim,Total high credit/credit limit,Общий высокий кредит/кредитный лимит,0
total_acc,The total number of credit lines currently in the borrower's credit file,Общее количество кредитных линий в настоящее время в кредитном деле заемщика,0
total_bal_ex_mort,Total credit balance excluding mortgage,Общий кредитный остаток без учета ипотеки,1
total_bal_il,Total current balance of all installment accounts,Суммарный текущий баланс всех счетов рассрочки,1
total_bc_limit,Total bankcard high credit/credit limit,Общий высокий кредит/кредитный лимит банковской карты,0
total_cu_tl,Number of finance trades,Количество финансовых сделок,1
total_il_high_credit_limit,Total installment high credit/credit limit,Общий платеж высокий кредит/кредитный лимит,0
total_pymnt,Payments received to date for total amount funded,"Платежи, полученные на сегодняшний день, на общую сумму финансирования",1
total_pymnt_inv,Payments received to date for portion of total amount funded by investors,"Платежи, полученные на сегодняшний день в отношении части общей суммы, финансируемой инвесторами",1
total_rec_int,Interest received to date,"Проценты, полученные на сегодняшний день",1
total_rec_late_fee,Late fees received to date,"Пени за просрочку платежа, полученные на сегодняшний день",1
total_rec_prncp,Principal received to date,Основная сумма получена на сегодняшний день,1
total_rev_hi_lim,Total revolving high credit/credit limit,Общий возобновляемый высокий кредит/кредитный лимит,0
url,URL for the LC page with listing data.,URL-адрес страницы LC с листинговыми данными.,1
verification_status,"Indicates if income was verified by LC, not verified, or if the income source was verified","Указывает, был ли доход подтвержден LC, не подтвержден или подтвержден источник дохода.",0
verified_status_joint,"Indicates if the co-borrowers' joint income was verified by LC, not verified, or if the income source was verified","Указывает, был ли совместный доход созаемщиков подтвержден аккредитивом, не подтвержден или подтвержден источник дохода",0
zip_code,The first 3 numbers of the zip code provided by the borrower in the loan application.,"Первые 3 цифры почтового индекса, указанные заемщиком в кредитной заявке.",1
